MSOA11CD,Name,LTLA,Vac date,1st dose 0-24 %,1st dose 25-29 %,1st dose 30-34 %,1st dose 35-39 %,1st dose 40-44 %,1st dose 45-49 %,1st dose 50-54 %,1st dose 55-59 %,1st dose 60-64 %,1st dose 65-69 %,1st dose 70-74 %,1st dose 75-79 %,1st dose 80+ %,2nd dose 0-24 %,2nd dose 25-29 %,2nd dose 30-34 %,2nd dose 35-39 %,2nd dose 40-44 %,2nd dose 45-49 %,2nd dose 50-54 %,2nd dose 55-59 %,2nd dose 60-64 %,2nd dose 65-69 %,2nd dose 70-74 %,2nd dose 75-79 %,2nd dose 80+ %,Income deprivation,Older people living alone
E02001509,"Royston West",E08000016,2021-07-15,5.5,63.6,72.7,80,84.7,89,91.4,94.2,95.8,94.5,97.2,96.4,97.6,1.7,24.2,42.6,56.5,71.8,76.6,87.4,91.8,92.3,92.4,96.7,96.4,96.6,15.8,34.1
E02001510,"Royston East & Carlton",E08000016,2021-07-15,5.6,56.2,68.3,71.9,81.3,79.8,92.7,92,92.9,94.4,96.5,99.1,98.4,1.9,22.4,42.1,53.3,65.2,69.5,88.8,89.1,90.1,93.2,94.4,99.1,97.3,20.2,31.5
E02001511,"Shafton & Upper Cudworth",E08000016,2021-07-15,5.1,64.2,66.9,78,84.9,87.3,89.7,94.4,94.6,95.6,94.4,97.2,96,1.6,24.4,37.2,52,69.4,77.7,85,91.1,91.3,93.6,92.9,96.5,94.1,14.6,31.4
E02001512,"Mapplewell & Staincross",E08000016,2021-07-15,5.4,73.4,75.9,81.3,88.5,85.4,93.2,95,92,97.2,94,96.5,97.9,1.7,25.8,48.3,60.7,72.6,77.5,89.6,91.6,89,95,93.1,96.2,97.3,11.5,29.6
E02001513,"Darton & Kexborough",E08000016,2021-07-15,6.3,73.7,79.4,82.8,88.4,90.5,92.8,95.1,93.5,96.7,95.9,99.2,96.8,1.9,26.3,45,58.8,72.2,80.8,90.6,92.2,90.2,93.8,94.3,97.7,94.8,9.3,27.5
E02001514,"Grimethorpe & Brierley",E08000016,2021-07-15,5.1,55.8,62.3,66.2,76,82.4,85.2,90,93,94,96,99.1,96,1.7,23.9,32,41.5,62,66.5,80.7,85.9,89.1,93.2,94.9,98.2,93.1,20.4,31.1
E02001515,"Athersley",E08000016,2021-07-15,5.9,61.1,65.3,71.3,81.1,87.2,89.5,91.8,94.5,95.9,96.5,96.9,93.8,1.8,22,36.8,45.8,66.3,77.6,85.7,87.9,92.1,93.6,94.6,95,91.1,28.1,39.7
E02001516,"Cudworth Village",E08000016,2021-07-15,6.6,67.2,72.1,77.2,78.4,88.4,93.4,93.3,96.2,95.6,96.6,96.9,97.2,2,22.9,42.8,55.3,64.9,79.9,88.9,90.2,94.9,95.3,95.4,96.3,96.3,19.9,31.7
E02001517,"Monk Bretton",E08000016,2021-07-15,5.1,64.9,69.4,81.6,84.8,87.1,91,93.6,95.2,96.4,97.1,98.8,98.1,1.6,25.1,37,55.9,71.1,76.6,86.4,89.9,91,95.3,96.5,97,91.9,11.6,30.9
E02001518,"Honeywell",E08000016,2021-07-15,5.3,61.1,64.3,72.9,80.1,83.5,90.5,90.7,91.5,93.9,96.8,96.2,94.6,1.8,22.5,36.1,44.7,63.8,73.5,86.9,86.9,89.2,92,95.2,95,89.5,14.8,33.4
E02001519,"Lundwood",E08000016,2021-07-15,6.1,63.9,70.1,75.6,83.5,87.6,90.7,93.2,94,97,96.2,97.1,96,1.6,23.8,42.9,51,65.7,78.7,86.7,90.7,90,95,94.4,96.2,94.7,24,30.3
E02001520,"Wilthorpe & Barugh Green",E08000016,2021-07-15,5.6,70.3,74.7,81.8,85.9,90.4,92.5,94.3,96,95.1,96.9,97.8,97,2,27.5,39.4,48.8,70.6,80.5,89.5,92,93.8,94,95.4,96.1,94.2,8.5,31.1
E02001521,"Barnsley Town & Park Road",E08000016,2021-07-15,4.5,46.6,46.1,53.2,65.1,73.3,80.7,87.5,86.8,87.6,91.7,91.8,93.8,1.4,15.1,19.9,29.3,46.6,62.7,74.7,84.4,83.6,85.4,88.5,90.8,91.4,18.6,40.6
E02001522,"Thurnscoe",E08000016,2021-07-15,5.2,53.4,61.5,66.3,74.6,80.4,87,90.7,91,95,95.2,96,95.5,2,24.7,33.7,36.9,53.5,65,81,85.8,87.6,92.5,93.7,94,93.3,26.2,38.1
E02001523,"Ardsley & Stairfoot",E08000016,2021-07-15,5.2,57,56.3,65.3,77.7,83.3,88.6,92.9,93.9,95.9,96.5,97.6,97.4,1.8,19,25.4,37.1,63.6,74,83.2,90.6,90.3,95.9,95.1,96.5,95.1,12.6,28.8
E02001524,"Silkstone, Hoylandswaine & Cawthorne",E08000016,2021-07-15,5.7,74,77.7,84.5,94.2,91.6,94.7,94.9,96.7,97.9,96.9,97.6,97.7,1.3,25.5,45,59.7,77.7,83.1,88.8,90.9,95.6,96.6,96.3,96.7,96.7,5,27.8
E02001525,"Worsbrough Common",E08000016,2021-07-15,4.3,50.8,49.6,58,67.8,76.6,83.5,84.7,87.7,89.7,96.6,94,93,1.5,17.8,20.7,31.5,51.5,64.5,76.1,80.4,86.4,87.5,92.4,93.5,91.1,28.3,45.9
E02001526,"Kendray",E08000016,2021-07-15,5.5,55.6,62.1,67.6,73.7,83.9,87.8,93.6,91.7,94.5,94.1,97.7,96.9,1.7,22.3,28.3,46,58.2,69.9,82,91.4,89.4,93.8,92.8,96.7,93.7,29.7,34.1
E02001527,"Dodworth",E08000016,2021-07-15,5.9,76,75.1,81.7,87.4,83.9,90.2,95.1,94.3,96.3,98.3,96,95.5,2,24.9,44.7,51.7,72.5,77.2,86.5,92.2,92.3,94.6,96.9,93.9,93.3,11.5,31.4
E02001528,"Darfield & Great Houghton",E08000016,2021-07-15,5.4,60.6,68.5,75.7,78.5,83.5,91.4,93.5,95.1,95.9,97.8,97.8,97.4,1.5,24.3,40.1,50,61.9,72.6,87.6,90.7,93.4,94.7,97.5,97.4,96.5,17.9,29.6
E02001529,"Worsbrough",E08000016,2021-07-15,5.3,61.7,64,72.1,79.3,87.5,90.4,93.4,92.5,95,95.1,95.8,97,1.5,22.8,32.7,39.3,64.9,77.4,85.5,89.1,89.2,93,92.5,94.9,95.6,23.8,32.2
E02001530,"Goldthorpe",E08000016,2021-07-15,5.2,53.4,58.1,67.3,74.9,80.5,86.2,90.6,91.9,94,96.1,95.7,95.2,1.7,19.4,33.4,41.2,55.2,66.4,78.6,85.4,87.5,91.6,93.3,93.2,91.3,27.1,34.6
E02001531,"Wombwell North",E08000016,2021-07-15,5.4,59.8,63.5,66.8,77,83.6,88.4,91.3,95,97.2,96.9,97.3,97.8,1.6,19.8,29.1,42.9,56.6,68.6,82.8,87.3,92.3,95.1,95.4,96.9,96.8,19.7,36.1
E02001532,"Penistone",E08000016,2021-07-15,5.6,75,80.2,88.3,92,91.7,92.5,94.7,95.5,95.3,96.4,97.4,98.5,1.3,26.6,45.8,60.7,78,82.6,85.4,86.6,93.8,93.9,95.7,96.2,97.3,7.6,35.5
E02001533,"Bolton-upon-Dearne",E08000016,2021-07-15,5.8,59.9,71.1,75.5,82.5,85.4,88.1,89.4,95.1,95,97.8,97.9,95.5,1.7,23.2,36.6,42.6,65.3,69.9,82.1,84.1,90.4,91.2,97,95.8,91.6,19.7,34.9
E02001534,"Wombwell South",E08000016,2021-07-15,6.4,63.1,69.4,78.8,84.2,87.2,91,91.8,94.3,95.4,97.9,98.5,98.5,1.8,23.1,34.8,53.2,60.7,75.6,87.4,87.5,92.3,92.9,96.8,97,97.6,14.6,31.8
E02001535,"Ingbirchworth, Dunford Bridge & Thurgoland",E08000016,2021-07-15,5.3,72.8,79.2,82.7,92.4,89,92.3,94.1,93.6,96.5,97.4,97.7,96.2,1.4,21.1,48.5,55,76.9,79.5,86.2,89.9,91.8,94.7,96.9,97.1,95.9,5.6,25.8
E02001536,"Birdwell",E08000016,2021-07-15,5.6,69.1,76.4,81.4,87.8,89,92.6,92.8,96.2,95.4,96.5,97.5,97.2,1.6,26.8,45.6,50.5,70.3,78.6,89.1,90.3,94.2,93.4,95.4,96.2,96.5,12,33.1
E02001537,"Elsecar",E08000016,2021-07-15,5.7,65.2,73.6,83.4,85.8,87.7,92.1,94.7,95.3,95.3,98.3,96.5,97.5,1.7,26,44.4,57.1,66.9,77.6,87.7,90.3,93.6,93.2,97.3,95.5,95.6,14.4,32
E02001538,"Hoyland",E08000016,2021-07-15,5.7,67,74.4,79.8,84.1,88.8,91.1,91.8,93.3,96.6,97.4,98.7,97.5,1.6,20.5,42.7,53,66.3,74,87.2,89,91.7,94.6,96.8,98.2,95.6,17.9,33.1
E02001539,"Moorends",E08000017,2021-07-15,6,60.8,65.6,71.2,74.1,82.2,87.8,89.4,92.8,95.7,95.3,97.2,95.1,1.8,22.6,36.8,43,60.6,71.4,83.4,85.1,90,94,94.6,95.3,94.2,23.5,27.9
E02001540,"Askern, Campsall & Norton",E08000017,2021-07-15,5.4,65.3,72.4,75.9,82.5,88.2,89.2,91.3,94.3,95.4,97.6,96.1,97.6,1.8,26,37.2,44.5,68.3,78.2,84.2,87.9,90.2,94.1,97.4,95,92.6,16.7,27.2
E02001541,"Thorne",E08000017,2021-07-15,5.2,58.3,65.5,73.9,78.6,86.2,90.3,91.4,92.8,93.4,96.2,96.6,95.7,1.8,23.5,35.2,45.1,67,76.4,86.1,87.6,91.7,91.8,95.2,95.3,93.7,17.1,30.1
E02001542,"Stainforth",E08000017,2021-07-15,5.4,55.1,64.6,71.1,80.4,85.2,91.1,91.6,93.8,94.3,94.4,96.6,94.9,1.4,20.3,30.5,36.1,60.4,70.2,84.3,87.7,89.3,92.6,93.9,96.2,92.9,25.5,30.9
